Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Customer_Segment,Country,City,Region,Product_ID,Product_Name,Category,Sub_Category,Sales_Rep,Quantity,Unit_Price,Sales,Cost,Profit,Discount,Year,Month,Quarter
ORD-1259,2022-01-01,2022-01-06,Second Class,CUST-4390,Customer 671,Consumer,United States,Jacksonville,East,PROD-54677,Cameras Premium,Electronics,Cameras,Jessica Taylor,1,1650.52,1650.52,990.31,660.21,0.0,2022,1,Q1
ORD-4391,2022-01-01,2022-01-04,Second Class,CUST-6483,Customer 179,Corporate,United States,Atlanta,South,PROD-39389,T-Shirts Deluxe,Clothing,T-Shirts,Mike Davis,1,67.88,67.88,33.94,33.94,0.0,2022,1,Q1
ORD-2347,2022-01-02,2022-01-09,Second Class,CUST-9233,Customer 938,Home Office,United States,Phoenix,South,PROD-93661,Headphones Deluxe,Electronics,Headphones,Jessica Taylor,4,563.65,2254.59,1352.76,901.84,0.0,2022,1,Q1
ORD-5521,2022-01-02,2022-01-05,Second Class,CUST-5270,Customer 732,Home Office,United States,Baltimore,East,PROD-51246,Cameras Pro,Electronics,Cameras,Lisa Garcia,4,664.35,2657.4,1594.44,1062.96,0.0,2022,1,Q1
ORD-4797,2022-01-02,2022-01-09,Second Class,CUST-2762,Customer 5,Home Office,United States,New York,North,PROD-82776,Cameras Standard,Electronics,Cameras,Emily Brown,2,619.04,1136.82,742.84,393.98,0.082,2022,1,Q1
ORD-5836,2022-01-02,2022-01-03,Same Day,CUST-6581,Customer 320,Consumer,United States,Seattle,West,PROD-75352,Accessories Pro,Sports,Accessories,Tom Anderson,1,188.57,188.57,98.05,90.51,0.0,2022,1,Q1
ORD-2267,2022-01-03,2022-01-09,Second Class,CUST-5826,Customer 550,Corporate,United States,Phoenix,South,PROD-27731,Laptops Standard,Electronics,Laptops,Emily Brown,1,577.73,492.54,346.64,145.9,0.147,2022,1,Q1
ORD-2552,2022-01-03,2022-01-04,Same Day,CUST-6259,Customer 917,Home Office,United States,New York,North,PROD-45554,Decorations Deluxe,Home & Garden,Decorations,David Wilson,7,611.1,3493.66,2352.72,1140.94,0.183,2022,1,Q1
ORD-1204,2022-01-03,2022-01-09,Same Day,CUST-9681,Customer 244,Home Office,United States,Chicago,North,PROD-17851,Educational Standard,Books,Educational,Jessica Taylor,12,28.59,310.02,137.22,172.8,0.096,2022,1,Q1
ORD-1294,2022-01-03,2022-01-07,Standard Class,CUST-1712,Customer 715,Consumer,United States,Seattle,West,PROD-40080,Comics Basic,Books,Comics,Tom Anderson,13,62.81,816.49,326.6,489.89,0.0,2022,1,Q1
ORD-4623,2022-01-04,2022-01-06,First Class,CUST-1251,Customer 622,Home Office,United States,Las Vegas,West,PROD-56918,T-Shirts Pro,Clothing,T-Shirts,Emily Brown,6,193.37,1022.95,580.11,442.84,0.118,2022,1,Q1
ORD-4864,2022-01-04,2022-01-06,First Class,CUST-3156,Customer 803,Corporate,United States,San Francisco,West,PROD-78582,Non-Fiction Basic,Books,Non-Fiction,Sarah Johnson,1,44.61,44.61,17.85,26.77,0.0,2022,1,Q1
ORD-2898,2022-01-04,2022-01-10,Same Day,CUST-5123,Customer 411,Consumer,United States,Los Angeles,West,PROD-93048,Furniture Pro,Home & Garden,Furniture,Jessica Taylor,5,663.69,3318.47,1825.16,1493.31,0.0,2022,1,Q1
ORD-5107,2022-01-04,2022-01-09,First Class,CUST-5986,Customer 390,Corporate,United States,New York,North,PROD-71554,Supplements Pro,Sports,Supplements,Robert Martinez,6,429.65,2577.89,1340.5,1237.39,0.0,2022,1,Q1
ORD-2338,2022-01-04,2022-01-05,Second Class,CUST-5824,Customer 310,Home Office,United States,Houston,South,PROD-49942,Outdoor Gear Deluxe,Sports,Outdoor Gear,John Smith,5,310.98,1554.9,808.55,746.35,0.0,2022,1,Q1
ORD-2353,2022-01-04,2022-01-11,First Class,CUST-3801,Customer 676,Consumer,United States,Dallas,South,PROD-18186,Plants Pro,Home & Garden,Plants,Amanda Lee,8,375.35,3002.83,1651.56,1351.27,0.0,2022,1,Q1
ORD-3729,2022-01-06,2022-01-13,Same Day,CUST-7095,Customer 544,Corporate,United States,Philadelphia,North,PROD-63477,Non-Fiction Deluxe,Books,Non-Fiction,John Smith,5,56.84,284.21,113.69,170.53,0.0,2022,1,Q1
ORD-3938,2022-01-06,2022-01-09,Same Day,CUST-4412,Customer 175,Consumer,United States,Portland,West,PROD-71298,Kitchen Appliances Deluxe,Home & Garden,Kitchen Appliances,Robert Martinez,3,645.76,1937.27,1065.5,871.77,0.0,2022,1,Q1
ORD-2545,2022-01-06,2022-01-13,Second Class,CUST-2647,Customer 959,Consumer,United States,Portland,West,PROD-84957,Comics Premium,Books,Comics,Tom Anderson,8,19.71,157.64,63.06,94.59,0.0,2022,1,Q1
ORD-2179,2022-01-07,2022-01-11,Same Day,CUST-3821,Customer 44,Home Office,United States,Detroit,North,PROD-89804,Kitchen Appliances Deluxe,Home & Garden,Kitchen Appliances,Amanda Lee,1,731.81,573.72,402.5,171.23,0.216,2022,1,Q1
ORD-5339,2022-01-07,2022-01-09,Second Class,CUST-4920,Customer 150,Corporate,United States,Jacksonville,East,PROD-20110,Comics Standard,Books,Comics,Amanda Lee,4,60.36,241.45,96.58,144.87,0.0,2022,1,Q1
ORD-4820,2022-01-07,2022-01-09,Standard Class,CUST-6479,Customer 345,Home Office,United States,Miami,South,PROD-98237,Cameras Pro,Electronics,Cameras,David Wilson,2,1900.05,3800.1,2280.06,1520.04,0.0,2022,1,Q1
ORD-3561,2022-01-07,2022-01-13,Standard Class,CUST-7768,Customer 990,Corporate,United States,Jacksonville,East,PROD-83687,Comics Premium,Books,Comics,Sarah Johnson,4,73.29,293.17,117.27,175.9,0.0,2022,1,Q1
ORD-5082,2022-01-07,2022-01-14,Second Class,CUST-4174,Customer 169,Consumer,United States,Detroit,North,PROD-99890,Tablets Deluxe,Electronics,Tablets,Tom Anderson,3,1306.77,3718.07,2352.19,1365.87,0.052,2022,1,Q1
ORD-4308,2022-01-08,2022-01-12,Same Day,CUST-8498,Customer 166,Home Office,United States,Los Angeles,West,PROD-30498,Educational Pro,Books,Educational,Lisa Garcia,14,70.33,880.51,393.84,486.67,0.106,2022,1,Q1
